time,number,latitude,longitude,cape,tcw,sshf,slhf,u10,v10,t2m,d2m,ssr,str,cin,sm,st,tcc,tp,mx2t6,mn2t6
2023-04-29 12:00:00,17,50.75,4.25,3.4250488,14.364257,-1816704.0,-2370164.0,0.44418132,-2.5627975,285.24512,280.28952,5564712.0,-1234588.0,,381.653,284.34396,99.999435,0.2138071,285.11856,280.59634
2023-04-29 12:00:00,18,50.75,4.25,4.574402,13.700785,-1623917.0,-2394568.0,-0.5764723,-2.5853858,285.0351,279.88467,4914620.0,-980211.0,,393.11002,284.42975,99.999435,0.40026665,284.92487,280.8238
2023-04-29 12:00:00,19,50.75,4.25,6.790344,14.071975,-1601645.0,-2342188.0,0.092596166,-2.428385,285.55182,280.4621,5119988.0,-1032808.0,,380.09134,284.3376,99.999435,0.39529467,285.4297,280.44556
2023-04-29 12:00:00,20,50.75,4.25,6.634033,14.146951,-2050902.0,-2590990.0,-0.62610406,-2.9473515,285.63745,280.4221,5825316.0,-1060540.0,,387.65506,284.67767,99.999435,0.21181822,285.50824,280.99332
2023-04-29 12:00:00,21,50.75,4.25,7.67305,14.280677,-2267352.0,-2971930.0,-0.41813087,-2.9518132,286.10138,280.55966,7379016.0,-1814107.0,,392.01782,285.02,99.999435,0.13027382,286.00922,281.10092
2023-04-29 12:00:00,22,50.75,4.25,3.3974762,14.348278,-1658368.0,-2354688.0,-0.30653945,-2.7034848,285.57364,280.3144,5122820.0,-969692.0,,389.33612,284.70383,99.999435,0.25632,285.45004,281.49786
2023-04-29 12:00:00,23,50.75,4.25,3.9767456,14.585004,-1810440.0,-2343378.0,-0.80077595,-2.555129,285.54428,280.70795,5493896.0,-1274274.0,,377.2644,284.50238,99.999435,0.24214888,285.37482,280.73218
2023-04-29 12:00:00,24,50.75,4.25,5.4433136,14.085986,-1568238.0,-2186242.0,-0.2400969,-2.181172,285.31836,280.25525,5104408.0,-1262799.0,,395.04373,284.10794,99.999435,0.24960756,285.2208,280.29553
2023-04-29 12:00:00,25,50.75,4.25,3.7744598,14.346558,-2007403.0,-2709438.0,-0.40132013,-2.6742039,286.54892,280.5214,6655276.0,-1562121.0,,396.6114,284.68994,99.999435,0.053700447,286.4154,280.9259
2023-04-29 12:00:00,26,50.75,4.25,5.250229,14.435053,-1680291.0,-2358260.0,0.13406272,-2.7372274,285.69858,280.45193,5268700.0,-1123178.0,,385.97003,284.40494,99.999435,0.27397156,285.55615,280.66428
2023-04-29 12:00:00,27,50.75,4.25,4.7628937,14.423745,-1323252.0,-2217788.0,-0.61873937,-2.5739522,285.76428,280.30215,4577540.0,-986905.0,,385.42493,284.3892,99.999435,0.5168662,285.69962,280.78833
2023-04-29 12:00:00,28,50.75,4.25,7.4385834,14.663667,-1544227.0,-2420758.0,0.034478948,-2.9543233,286.0839,280.66013,5025096.0,-972561.0,,385.31354,284.72836,99.999435,0.34109688,285.96698,281.5468
